definition_xml,store_name,brand,categories,declared_vehicle_type,type_description,function_keys,function_labels,definition_kind,source_review_reasons,function_cohort_id,suggested_primary_family,suggested_primary_role,suggested_secondary_roles,suggested_capabilities,semantic_confidence,semantic_review_status,support_layers,decision_basis,semantic_conflict_detail,implementation_divergence,reviewer_decision_status,approved_primary_family,approved_primary_role,approved_secondary_roles,approved_capabilities,reviewer_notes,review_unit_id,reviewed_primary_family,reviewed_primary_role,reviewed_secondary_roles,reviewed_capabilities,consolidation_resolution,semantic_profile_state,semantic_catalogue_version
agrifac/lightOptitraxx/lightOptitraxx.xml,LightTraxx,AGRIFAC,beetHarvesters,combineCutterFruitPreparer,harvester,$l10n_function_combine,This machine can harvest the indicated crop types.,DIRECT_MODEL,,SC-F023,HARVEST,SPECIALTY_HARVESTER,,,CORROBORATED,SUGGESTED,FUNCTION | TYPE_DESC | CATEGORY,FUNCTION=$l10n_function_combine:SPECIALTY_HARVESTER ; TYPE_DESC=harvester:SELF_PROPELLED_HARVESTER ; DECLARED_TYPE=combineCutterFruitPreparer:HARVEST_HEADER ; CATEGORY=beetHarvesters:SELF_PROPELLED_HARVESTER,,,APPROVED,,,,,,SC-R027,HARVEST,SPECIALTY_HARVESTER,,,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
agrio/dinoII/dinoII.xml,DINO II,AGRIO,sprayers,selfPropelledSprayer,sprayer,$l10n_function_sprayer,Sprayers increase the harvest output of fields.,DIRECT_MODEL,,SC-F106,CROP_CARE,SPRAYER,,SELF_PROPELLED,CORROBORATED,SUGGESTED,FUNCTION | TYPE_DESC | DECLARED_TYPE | CATEGORY,FUNCTION=$l10n_function_sprayer:SPRAYER ; TYPE_DESC=sprayer:SPRAYER ; DECLARED_TYPE=selfPropelledSprayer:SPRAYER ; CATEGORY=sprayers:SPRAYER,,,APPROVED,,,,,,SC-R125,CROP_CARE,SPRAYER,,SELF_PROPELLED,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
agrisem/combiplow/combiplow.xml,Combiplow Gold,AGRISEM,subsoilers,cultivator,cultivator,$l10n_function_subsoiler,A subsoiler prepares fields for the next sowing. It can be used instead of a plow.,DIRECT_MODEL,,SC-F112,SOIL_PREPARATION,SUBSOILER,,,CORROBORATED,SUGGESTED,FUNCTION | CATEGORY,FUNCTION=$l10n_function_subsoiler:SUBSOILER ; TYPE_DESC=cultivator:CULTIVATOR ; DECLARED_TYPE=cultivator:CULTIVATOR ; CATEGORY=subsoilers:SUBSOILER,,,APPROVED,,,,,,SC-R131,SOIL_PREPARATION,SUBSOILER,,,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
agrisem/discOVigne/discOVigne.xml,Disc-O-Vigne V,AGRISEM,subsoilers | grapeTools,cultivator,cultivator,$l10n_function_subsoiler | $l10n_function_vineOliveTool,A subsoiler prepares fields for the next sowing. It can be used instead of a plow. | This tool suits perfectly for grape and olive farming.,DIRECT_MODEL,MULTIPLE_STORE_CATEGORIES,SC-F113,SOIL_PREPARATION,SUBSOILER,,VINE_OLIVE_SPECIALISM,CORROBORATED,SUGGESTED_EXCEPTION_REVIEW,FUNCTION | CATEGORY,FUNCTION=$l10n_function_subsoiler:SUBSOILER ; TYPE_DESC=cultivator:CULTIVATOR ; DECLARED_TYPE=cultivator:CULTIVATOR ; CATEGORY=subsoilers:SUBSOILER,,,APPROVED,,,,,,SC-R132,SOIL_PREPARATION,SUBSOILER,,VINE_OLIVE_SPECIALISM,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
agromasz/aquilaDrive400/aquilaDrive400.xml,AQUILA DRIVE 400,AGROMASZ,seeders,sowingMachine,seeder,$l10n_function_sowingMachine | $l10n_function_sowingMachineDirect,"These machines are used to seed crops like wheat, barley or canola. | Additionally, this seeder offers the possibility to seed directly (no previous cultivating or plowing is necessary).",DIRECT_MODEL,,SC-F102,CROP_ESTABLISHMENT,SEEDER,,DIRECT_SOWING,CORROBORATED,SUGGESTED,FUNCTION | TYPE_DESC | DECLARED_TYPE | CATEGORY,FUNCTION=$l10n_function_sowingMachine:SEEDER ; TYPE_DESC=seeder:SEEDER ; DECLARED_TYPE=sowingMachine:SEEDER ; CATEGORY=seeders:SEEDER,,,APPROVED,,,,,,SC-R118,CROP_ESTABLISHMENT,SEEDER,,DIRECT_SOWING,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
agromasz/grizzlyX4/grizzlyX4.xml,GRIZZLY X4,AGROMASZ,cultivators,cultivator,cultivator,$l10n_function_cultivator,A cultivator prepares fields for the next sowing.,DIRECT_MODEL,,SC-F028,SOIL_PREPARATION,CULTIVATOR,,,CORROBORATED,SUGGESTED,FUNCTION | TYPE_DESC | DECLARED_TYPE | CATEGORY,FUNCTION=$l10n_function_cultivator:CULTIVATOR ; TYPE_DESC=cultivator:CULTIVATOR ; DECLARED_TYPE=cultivator:CULTIVATOR ; CATEGORY=cultivators:CULTIVATOR,,,APPROVED,,,,,,SC-R033,SOIL_PREPARATION,CULTIVATOR,,,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
agromasz/pov5xl/pov5xl.xml,POV 5 XL,AGROMASZ,plows,plowPacker,plow,$l10n_function_plow | $l10n_function_wheelWeightsRecommended,"With a plow, you can prepare fields for the next sowing and create new fields. | Wheel weights on the tractor are required for use.",DIRECT_MODEL,,SC-F084,SOIL_PREPARATION,PLOUGH,,WHEEL_WEIGHTS_RECOMMENDED,CORROBORATED,SUGGESTED,FUNCTION | TYPE_DESC | DECLARED_TYPE | CATEGORY,FUNCTION=$l10n_function_plow:PLOUGH ; TYPE_DESC=plow:PLOUGH ; DECLARED_TYPE=plowPacker:PLOUGH ; CATEGORY=plows:PLOUGH,,,APPROVED,,,,,,SC-R098,SOIL_PREPARATION,PLOUGH,,WHEEL_WEIGHTS_RECOMMENDED,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
albutt/f155A/f155A.xml,%s %s (%s),ALBUTT,frontLoaderTools,implementDynamicMountAttacher,front loader tool,$l10n_function_frontloaderBaleFork,This tool can be used to transport bales.,DIRECT_MODEL,,SC-F050,MATERIAL_HANDLING,LOADER_ATTACHMENT,,BALE_HANDLING,CORROBORATED,SUGGESTED,FUNCTION | TYPE_DESC,FUNCTION=$l10n_function_frontloaderBaleFork:LOADER_ATTACHMENT ; TYPE_DESC=front loader tool:LOADER_ATTACHMENT ; CATEGORY=frontLoaderTools:FRONT_LOADER,,,APPROVED,,,,,,SC-R060,MATERIAL_HANDLING,LOADER_ATTACHMENT,,BALE_HANDLING,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
albutt/f155A/f155A_telehandler.xml,F155A (Telehandler),ALBUTT,teleLoaderTools,baleGrab,front loader tool,$l10n_function_frontloaderBaleFork,This tool can be used to transport bales.,INHERITED_VARIANT,DECLARED_TYPE_DIFFERS_FROM_PARENT | INHERITED_DEFINITION | PARENT_ATTRIBUTE_OPERATIONS,SC-F050,MATERIAL_HANDLING,LOADER_ATTACHMENT,,BALE_HANDLING,CORROBORATED,SUGGESTED_EXCEPTION_REVIEW,FUNCTION | TYPE_DESC | DECLARED_TYPE,FUNCTION=$l10n_function_frontloaderBaleFork:LOADER_ATTACHMENT ; TYPE_DESC=front loader tool:LOADER_ATTACHMENT ; DECLARED_TYPE=baleGrab:LOADER_ATTACHMENT ; CATEGORY=teleLoaderTools:TELEHANDLER,,,APPROVED,,,,,,SC-R060,MATERIAL_HANDLING,LOADER_ATTACHMENT,,BALE_HANDLING,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
albutt/f155A/f155A_wheelLoader.xml,F155A (Wheel Loader),ALBUTT,wheelLoaderTools,baleGrab,front loader tool,$l10n_function_frontloaderBaleFork,This tool can be used to transport bales.,INHERITED_VARIANT,DECLARED_TYPE_DIFFERS_FROM_PARENT | INHERITED_DEFINITION | PARENT_ATTRIBUTE_OPERATIONS,SC-F050,MATERIAL_HANDLING,LOADER_ATTACHMENT,,BALE_HANDLING,CORROBORATED,SUGGESTED_EXCEPTION_REVIEW,FUNCTION | TYPE_DESC | DECLARED_TYPE,FUNCTION=$l10n_function_frontloaderBaleFork:LOADER_ATTACHMENT ; TYPE_DESC=front loader tool:LOADER_ATTACHMENT ; DECLARED_TYPE=baleGrab:LOADER_ATTACHMENT ; CATEGORY=wheelLoaderTools:WHEEL_LOADER,,,APPROVED,,,,,,SC-R060,MATERIAL_HANDLING,LOADER_ATTACHMENT,,BALE_HANDLING,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
albutt/frontloaderBaleKing/frontloaderBaleKing.xml,Bale King,ALBUTT,frontLoaderTools,implementDynamicMountAttacher,front loader tool,$l10n_function_frontloaderBaleFork,This tool can be used to transport bales.,DIRECT_MODEL,,SC-F050,MATERIAL_HANDLING,LOADER_ATTACHMENT,,BALE_HANDLING,CORROBORATED,SUGGESTED,FUNCTION | TYPE_DESC,FUNCTION=$l10n_function_frontloaderBaleFork:LOADER_ATTACHMENT ; TYPE_DESC=front loader tool:LOADER_ATTACHMENT ; CATEGORY=frontLoaderTools:FRONT_LOADER,,,APPROVED,,,,,,SC-R060,MATERIAL_HANDLING,LOADER_ATTACHMENT,,BALE_HANDLING,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
albutt/frontloaderBaleSpike/frontloaderBaleSpike.xml,Bale Spike,ALBUTT,frontLoaderTools,implementDynamicMountAttacher,front loader tool,$l10n_function_frontloaderBaleFork,This tool can be used to transport bales.,DIRECT_MODEL,,SC-F050,MATERIAL_HANDLING,LOADER_ATTACHMENT,,BALE_HANDLING,CORROBORATED,SUGGESTED,FUNCTION | TYPE_DESC,FUNCTION=$l10n_function_frontloaderBaleFork:LOADER_ATTACHMENT ; TYPE_DESC=front loader tool:LOADER_ATTACHMENT ; CATEGORY=frontLoaderTools:FRONT_LOADER,,,APPROVED,,,,,,SC-R060,MATERIAL_HANDLING,LOADER_ATTACHMENT,,BALE_HANDLING,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
albutt/frontloaderLogFork/frontloaderLogFork.xml,Log Fork,ALBUTT,frontLoaderTools,logGrab,front loader tool,$l10n_function_frontloaderLogFork,This tool can be used to transport logs.,DIRECT_MODEL,,SC-F051,MATERIAL_HANDLING,LOADER_ATTACHMENT,,LOG_HANDLING,CORROBORATED,SUGGESTED,FUNCTION | TYPE_DESC | DECLARED_TYPE,FUNCTION=$l10n_function_frontloaderLogFork:LOADER_ATTACHMENT ; TYPE_DESC=front loader tool:LOADER_ATTACHMENT ; DECLARED_TYPE=logGrab:LOADER_ATTACHMENT ; CATEGORY=frontLoaderTools:FRONT_LOADER,,,APPROVED,,,,,,SC-R061,MATERIAL_HANDLING,LOADER_ATTACHMENT,,LOG_HANDLING,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
albutt/frontloaderManureFork/frontloaderManureFork.xml,Manure Fork,ALBUTT,frontLoaderTools,dynamicMountAttacherShovel,front loader tool,$l10n_function_frontloaderManureFork,This tool can be used to transport manure.,DIRECT_MODEL,,SC-F052,MATERIAL_HANDLING,LOADER_ATTACHMENT,,MANURE_HANDLING,CORROBORATED,SUGGESTED,FUNCTION | TYPE_DESC | DECLARED_TYPE,FUNCTION=$l10n_function_frontloaderManureFork:LOADER_ATTACHMENT ; TYPE_DESC=front loader tool:LOADER_ATTACHMENT ; DECLARED_TYPE=dynamicMountAttacherShovel:LOADER_ATTACHMENT ; CATEGORY=frontLoaderTools:FRONT_LOADER,,,APPROVED,,,,,,SC-R062,MATERIAL_HANDLING,LOADER_ATTACHMENT,,MANURE_HANDLING,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
albutt/frontloaderManureGrab/frontloaderManureGrab.xml,Fork With Grapple,ALBUTT,frontLoaderTools,dynamicMountAttacherShovel,front loader tool,$l10n_function_frontloaderManureFork,This tool can be used to transport manure.,DIRECT_MODEL,,SC-F052,MATERIAL_HANDLING,LOADER_ATTACHMENT,,MANURE_HANDLING,CORROBORATED,SUGGESTED,FUNCTION | TYPE_DESC | DECLARED_TYPE,FUNCTION=$l10n_function_frontloaderManureFork:LOADER_ATTACHMENT ; TYPE_DESC=front loader tool:LOADER_ATTACHMENT ; DECLARED_TYPE=dynamicMountAttacherShovel:LOADER_ATTACHMENT ; CATEGORY=frontLoaderTools:FRONT_LOADER,,,APPROVED,,,,,,SC-R062,MATERIAL_HANDLING,LOADER_ATTACHMENT,,MANURE_HANDLING,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
albutt/frontloaderPalletFork/frontloaderPalletFork.xml,Pallet Fork,ALBUTT,frontLoaderTools,implementDynamicMountAttacher,front loader tool,$l10n_function_frontloaderPalletFork,This tool can be used to transport pallets.,DIRECT_MODEL,,SC-F053,MATERIAL_HANDLING,LOADER_ATTACHMENT,,PALLET_HANDLING,CORROBORATED,SUGGESTED,FUNCTION | TYPE_DESC,FUNCTION=$l10n_function_frontloaderPalletFork:LOADER_ATTACHMENT ; TYPE_DESC=front loader tool:LOADER_ATTACHMENT ; CATEGORY=frontLoaderTools:FRONT_LOADER,,,APPROVED,,,,,,SC-R063,MATERIAL_HANDLING,LOADER_ATTACHMENT,,PALLET_HANDLING,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
albutt/frontloaderRoundBaleFork/frontloaderRoundBaleFork.xml,Round bale Fork,ALBUTT,frontLoaderTools,dynamicMountAttacherShovel,front loader tool,$l10n_function_frontloaderRoundBaleFork,This tool can be used to transport round bales.,DIRECT_MODEL,,SC-F055,MATERIAL_HANDLING,LOADER_ATTACHMENT,,ROUND_BALE_HANDLING,CORROBORATED,SUGGESTED,FUNCTION | TYPE_DESC | DECLARED_TYPE,FUNCTION=$l10n_function_frontloaderRoundBaleFork:LOADER_ATTACHMENT ; TYPE_DESC=front loader tool:LOADER_ATTACHMENT ; DECLARED_TYPE=dynamicMountAttacherShovel:LOADER_ATTACHMENT ; CATEGORY=frontLoaderTools:FRONT_LOADER,,,APPROVED,,,,,,SC-R065,MATERIAL_HANDLING,LOADER_ATTACHMENT,,ROUND_BALE_HANDLING,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
albutt/frontloaderShovel/frontloaderShovel.xml,Universal Bucket,ALBUTT,frontLoaderTools,shovelLeveler,front loader tool,$l10n_function_frontloaderShovel,This tool can be used to load goods on your trailer.,DIRECT_MODEL,,SC-F056,MATERIAL_HANDLING,LOADER_ATTACHMENT,,BULK_MATERIAL_HANDLING,CORROBORATED,SUGGESTED,FUNCTION | TYPE_DESC | DECLARED_TYPE,FUNCTION=$l10n_function_frontloaderShovel:LOADER_ATTACHMENT ; TYPE_DESC=front loader tool:LOADER_ATTACHMENT ; DECLARED_TYPE=shovelLeveler:LOADER_ATTACHMENT ; CATEGORY=frontLoaderTools:FRONT_LOADER,,,APPROVED,,,,,,SC-R066,MATERIAL_HANDLING,LOADER_ATTACHMENT,,BULK_MATERIAL_HANDLING,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
albutt/frontloaderSilageCutter/frontloaderSilageCutter.xml,Silage Cutter,ALBUTT,frontLoaderTools,dynamicMountAttacherShovel,front loader tool,$l10n_function_frontloaderManureFork,This tool can be used to transport manure.,DIRECT_MODEL,,SC-F052,MATERIAL_HANDLING,LOADER_ATTACHMENT,,MANURE_HANDLING,CORROBORATED,SUGGESTED,FUNCTION | TYPE_DESC | DECLARED_TYPE,FUNCTION=$l10n_function_frontloaderManureFork:LOADER_ATTACHMENT ; TYPE_DESC=front loader tool:LOADER_ATTACHMENT ; DECLARED_TYPE=dynamicMountAttacherShovel:LOADER_ATTACHMENT ; CATEGORY=frontLoaderTools:FRONT_LOADER,,,APPROVED,,,,,,SC-R062,MATERIAL_HANDLING,LOADER_ATTACHMENT,,MANURE_HANDLING,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
albutt/frontloaderSquareBaleGrab/frontloaderSquareBaleGrab.xml,Bale Handler,ALBUTT,frontLoaderTools,baleGrab,front loader tool,$l10n_function_frontloaderBaleFork,This tool can be used to transport bales.,DIRECT_MODEL,,SC-F050,MATERIAL_HANDLING,LOADER_ATTACHMENT,,BALE_HANDLING,CORROBORATED,SUGGESTED,FUNCTION | TYPE_DESC | DECLARED_TYPE,FUNCTION=$l10n_function_frontloaderBaleFork:LOADER_ATTACHMENT ; TYPE_DESC=front loader tool:LOADER_ATTACHMENT ; DECLARED_TYPE=baleGrab:LOADER_ATTACHMENT ; CATEGORY=frontLoaderTools:FRONT_LOADER,,,APPROVED,,,,,,SC-R060,MATERIAL_HANDLING,LOADER_ATTACHMENT,,BALE_HANDLING,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
albutt/wheelLoaderLogFork/wheelLoaderLogFork.xml,SitePro,ALBUTT,wheelLoaderTools,logGrab,telehandler tool,$l10n_function_frontloaderLogFork,This tool can be used to transport logs.,DIRECT_MODEL,,SC-F051,MATERIAL_HANDLING,LOADER_ATTACHMENT,,LOG_HANDLING,CORROBORATED,SUGGESTED,FUNCTION | TYPE_DESC | DECLARED_TYPE,FUNCTION=$l10n_function_frontloaderLogFork:LOADER_ATTACHMENT ; TYPE_DESC=telehandler tool:LOADER_ATTACHMENT ; DECLARED_TYPE=logGrab:LOADER_ATTACHMENT ; CATEGORY=wheelLoaderTools:WHEEL_LOADER,,,APPROVED,,,,,,SC-R061,MATERIAL_HANDLING,LOADER_ATTACHMENT,,LOG_HANDLING,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
